chamber,congress,year,party.mean.diff.d1,prop.moderate.d1,prop.moderate.dem.d1,prop.moderate.rep.d1,overlap,chamber.mean.d1,chamber.mean.d2,dem.mean.d1,dem.mean.d2,rep.mean.d1,rep.mean.d2,north.rep.mean.d1,north.rep.mean.d2,south.rep.mean.d1,south.rep.mean.d2,north.dem.mean.d1,north.dem.mean.d2,south.dem.mean.d1,south.dem.mean.d2
House,104,1995,0.7584634941329856,0.19775280898876405,0.21153846153846154,0.1864406779661017,0.006756756756756757,0.04042696629213483,-0.03507865168539326,-0.3614423076923077,0.06085576923076923,0.39702118644067796,-0.11819915254237288,0.37495705521472394,-0.1907239263803681,0.4462876712328767,0.04373972602739726,-0.39518243243243245,-0.07127702702702703,-0.27821666666666667,0.3867833333333333
House,105,1997,0.7774290615045332,0.1554054054054054,0.15566037735849056,0.15584415584415584,0.011286681715575621,0.028547297297297297,-0.022036036036036037,-0.37558490566037733,0.03610849056603774,0.40184415584415584,-0.07387878787878788,0.38207142857142856,-0.139512987012987,0.4413896103896104,0.057389610389610386,-0.39835625,-0.0572125,-0.30551923076923077,0.32325
House,106,1999,0.777301158059468,0.15681818181818183,0.1596244131455399,0.15555555555555556,0.0091324200913242,0.02640909090909091,-0.007377272727272728,-0.37289671361502347,0.04406103286384976,0.40440444444444446,-0.056884444444444446,0.3845442176870748,-0.1239047619047619,0.44183333333333336,0.06942307692307692,-0.3967716049382716,-0.043179012345679016,-0.29705882352941176,0.3211764705882353
House,107,2001,0.7868027955402526,0.1463963963963964,0.14953271028037382,0.14473684210526316,0.004524886877828055,0.028997747747747746,0.0045788288288288286,-0.37685981308411215,0.0395607476635514,0.40994298245614036,-0.028951754385964912,0.3903904109589041,-0.10493835616438356,0.4447560975609756,0.10634146341463414,-0.39967484662576686,-0.04792024539877301,-0.3039411764705882,0.319156862745098
House,108,2003,0.7930547161172161,0.1340909090909091,0.14423076923076922,0.12554112554112554,0,0.03976590909090909,0.01611590909090909,-0.3762451923076923,0.047456730769230765,0.4168095238095238,-0.01041991341991342,0.3991756756756757,-0.08631756756756757,0.4482530120481928,0.12491566265060242,-0.4045194805194805,-0.05064285714285714,-0.2956111111111111,0.32722222222222225
House,109,2005,0.8099898752751284,0.1252847380410023,0.12807881773399016,0.12340425531914893,0,0.04606833712984055,0.012079726651480637,-0.38720689655172413,0.030862068965517242,0.42278297872340426,-0.0025063829787234045,0.39960135135135133,-0.07823648648648648,0.4622183908045977,0.12632183908045977,-0.40570700636942675,-0.04610191082802548,-0.32406521739130434,0.2935434782608696
House,110,2007,0.8076154617668299,0.13839285714285715,0.17355371900826447,0.0970873786407767,0,0.0034084821428571424,0.036392857142857143,-0.3679504132231405,0.04464462809917356,0.4396650485436893,0.02669902912621359,0.418,-0.04851639344262295,0.4711309523809524,0.1359404761904762,-0.3861702127659575,-0.02855851063829787,-0.3045185185185185,0.2995
House,111,2009,0.8043442830725758,0.1681614349775785,0.23574144486692014,0.07103825136612021,0,-0.018053811659192825,0.03492152466367713,-0.34808745247148287,0.03878326996197719,0.4562568306010929,0.029371584699453553,0.43844761904761903,-0.038971428571428574,0.48023076923076924,0.12137179487179488,-0.36333658536585367,-0.02450731707317073,-0.2941896551724138,0.26248275862068965
House,112,2011,0.8613666326530612,0.08764044943820225,0.12,0.061224489795918366,0,0.0811505617977528,0.003395505617977528,-0.393085,-0.03316,0.4682816326530612,0.03323673469387755,0.44497315436241613,-0.015885906040268457,0.5044583333333333,0.10947916666666667,-0.40061111111111114,-0.09011111111111111,-0.361,0.20963157894736842
House,113,2013,0.8674039215686276,0.09009009009009009,0.12745098039215685,0.058333333333333334,0,0.0846463963963964,-0.009173423423423423,-0.38422058823529415,-0.07088235294117647,0.48318333333333335,0.04327916666666667,0.4526716417910448,0.012388059701492538,0.5217547169811321,0.08233018867924528,-0.3856890243902439,-0.11590243902439025,-0.3782,0.1137
House,114,2015,0.876731830572447,0.08163265306122448,0.09473684210526316,0.07171314741035857,0,0.10415419501133787,-0.009650793650793651,-0.3948473684210526,-0.07780526315789474,0.4818844621513944,0.0419402390438247,0.44711724137931036,0.010441379310344829,0.5294433962264151,0.08502830188679245,-0.3947337662337662,-0.11992857142857143,-0.3953333333333333,0.10238888888888889
